Date,MWh
12/10/2012,18227.81
12/10/2012,18023.69
12/10/2012,17502.65
12/10/2012,16769.51
12/10/2012,15553
12/10/2012,14015.7
12/10/2012,12465.2
12/11/2012,11931.14
12/11/2012,11780.64
12/11/2012,11485.09
12/11/2012,11426.83
12/11/2012,11472.77
12/11/2012,12114.54
12/11/2012,13856.2
12/11/2012,15182.4
12/11/2012,15476.74
12/11/2012,15540.43
12/11/2012,15530.63
12/11/2012,15493.49
12/11/2012,15307.17
12/11/2012,15310.79
12/11/2012,15235.26
12/11/2012,15451.7
12/11/2012,16939.16
12/11/2012,18245.93
12/11/2012,18272.81
12/11/2012,17911.7
12/11/2012,17306.03
12/11/2012,16247.75
12/11/2012,14651.2
12/11/2012,13145.96
12/12/2012,12169.94
12/12/2012,12015.77
12/12/2012,12313.12
12/12/2012,12269.4
12/12/2012,12481.94
12/12/2012,13330.59
12/12/2012,15199.83
12/12/2012,16406.58
12/12/2012,16506.09
12/12/2012,16410.51
12/12/2012,16307.26
12/12/2012,16194.82
12/12/2012,16013.71
12/12/2012,15945.8
12/12/2012,15847.54
12/12/2012,16109.49
12/12/2012,17613.76
12/12/2012,18828.36
12/12/2012,18800.39
12/12/2012,18438.8
12/12/2012,17839.56
12/12/2012,16809.81
12/12/2012,15229.09
12/12/2012,13658.12
12/13/2012,12586.95
12/13/2012,12342.94
12/13/2012,12341.01
12/13/2012,12361.42
12/13/2012,12567.18
12/13/2012,13557.48
12/13/2012,15453.21
12/13/2012,16596.03
12/13/2012,16652.65
12/13/2012,16431.26
12/13/2012,16206.38
12/13/2012,15982
12/13/2012,15737.12
12/13/2012,15639.83
12/13/2012,15538.27
12/13/2012,15738.13
12/13/2012,17157.53
12/13/2012,18576.14
12/13/2012,18613.48
12/13/2012,18319.63
12/13/2012,17769.08
12/13/2012,16771.47
12/13/2012,15211.72
12/13/2012,13666.46
12/14/2012,12642.53
12/14/2012,12350.72
12/14/2012,12490.91
12/14/2012,12452.82
12/14/2012,12787
12/14/2012,13526.27
12/14/2012,15406.83
12/14/2012,16571.49
12/14/2012,16635.58
12/14/2012,16442.35
12/14/2012,16268.27
12/14/2012,16008
12/14/2012,15681.48
12/14/2012,15492.32
12/14/2012,15378.06
12/14/2012,15559.53
12/14/2012,16878.24
12/14/2012,17940.41
12/14/2012,17794.45
12/14/2012,17372.17
12/14/2012,16843.68
12/14/2012,16062.87
12/14/2012,14815.24
12/14/2012,13445.58
12/15/2012,12687.4
12/15/2012,12503.56
12/15/2012,12255.26
12/15/2012,12257.77
12/15/2012,12502.52
12/15/2012,12429.38
12/15/2012,13101.45
12/15/2012,13803.44
12/15/2012,14699.9
12/15/2012,15180.07
12/15/2012,15239.23
12/15/2012,15085.99
12/15/2012,14794.83
12/15/2012,14500.32
12/15/2012,14383.35
12/15/2012,14627.55
12/15/2012,16159.51
12/15/2012,17337.54
12/15/2012,17240.23
12/15/2012,16830.15
12/15/2012,16391.25
12/15/2012,15726.94
12/15/2012,14695.51
12/15/2012,13474.32
12/16/2012,12599.75
12/16/2012,12284.18
12/16/2012,12331.78
12/16/2012,12327.32
12/16/2012,12128.3
12/16/2012,12171.3
12/16/2012,12281.63
12/16/2012,13067.86
12/16/2012,14193.16
12/16/2012,15154.83
12/16/2012,15680.09
12/16/2012,16002.81
12/16/2012,16249.74
12/16/2012,16329.76
12/16/2012,16360.9
12/16/2012,16692.84
12/16/2012,17901.41
12/16/2012,18556.31
12/16/2012,18422.8
12/16/2012,17948.43
12/16/2012,17265.85
12/16/2012,16312.61
12/16/2012,14918.07
12/16/2012,13715.46
12/17/2012,13165.06
12/17/2012,12586.07
12/17/2012,12334.16
12/17/2012,12403.36
12/17/2012,12571.44
12/17/2012,13422.4
12/17/2012,14897.35
12/17/2012,16336.94
12/17/2012,16783.57
12/17/2012,16970.26
12/17/2012,17126.46
12/17/2012,17172.8
12/17/2012,17074.4
12/17/2012,16997.22
12/17/2012,16891.16
12/17/2012,17088.67
12/17/2012,18329.22
12/17/2012,19152.57
12/17/2012,18972.75
12/17/2012,18510.36
12/17/2012,17786.96
12/17/2012,16567.6
12/17/2012,14910.77
12/17/2012,13791.98
12/18/2012,12840.88
12/18/2012,12401.94
12/18/2012,12251.83
12/18/2012,12344.87
12/18/2012,12599.88
12/18/2012,13526.45
12/18/2012,14797.94
12/18/2012,15898.44
12/18/2012,16122.43
12/18/2012,16192.21
12/18/2012,16286.61
12/18/2012,16278.9
12/18/2012,16091.21
12/18/2012,16017.83
12/18/2012,15904.48
12/18/2012,16073.82
12/18/2012,17302.16
12/18/2012,18284.03
12/18/2012,18154.74
12/18/2012,17729.55
12/18/2012,17067.16
12/18/2012,15992.49
12/18/2012,14479.22
12/18/2012,13485.23
12/19/2012,12490.94
12/19/2012,12233.9
12/19/2012,11981.7
12/19/2012,11971.95
12/19/2012,12100.46
12/19/2012,13033.96
12/19/2012,14473.9
12/19/2012,15697.47
12/19/2012,15926.14
12/19/2012,15900.55
12/19/2012,15918.92
12/19/2012,15859.03
12/19/2012,15690.15
12/19/2012,15707.21
12/19/2012,15700.78
12/19/2012,15899.1
12/19/2012,17197.14
12/19/2012,18408.84
12/19/2012,18364.08
12/19/2012,17978.35
12/19/2012,17419.41
12/19/2012,16381.57
12/19/2012,14814.37
12/19/2012,13213.65
12/20/2012,12323.57
12/20/2012,11803.13
12/20/2012,11809.82
12/20/2012,11824.38
12/20/2012,12328.82
12/20/2012,13715.99
12/20/2012,15009.53
12/20/2012,16080.34
12/20/2012,16235.88
12/20/2012,16167.24
12/20/2012,16080.34
12/20/2012,15894.56
12/20/2012,15646.78
12/20/2012,15613.77
12/20/2012,15650.42
12/20/2012,15982.02
12/20/2012,17321.81
12/20/2012,18328.28
12/20/2012,18266.48
12/20/2012,17931.94
12/20/2012,17368.31
12/20/2012,16357.37
12/20/2012,14844.74
12/20/2012,13282.72
12/21/2012,12149.75
12/21/2012,11536.06
12/21/2012,11898.68
12/21/2012,11941.2
12/21/2012,11928.58
12/21/2012,12701.62
12/21/2012,14521.43
12/21/2012,15692.01
12/21/2012,16175.59
12/21/2012,16410.71
12/21/2012,16526.88
12/21/2012,16464.37
12/21/2012,16169.66
12/21/2012,15936.1
12/21/2012,15625.22
12/21/2012,15535.17
12/21/2012,16621.94
12/21/2012,17529.53
12/21/2012,17281
12/21/2012,16803.75
12/21/2012,16243.45
12/21/2012,15451.56
12/21/2012,14279.67
12/21/2012,12923.9
12/22/2012,12328.81
12/22/2012,11742.72
12/22/2012,11599.41
12/22/2012,11550.87
12/22/2012,11573.43
12/22/2012,11570.1
12/22/2012,12112.97
12/22/2012,13026.85
12/22/2012,14097.72
12/22/2012,14827.58
12/22/2012,15104.68
12/22/2012,15168.96
12/22/2012,15071.84
12/22/2012,14949.87
12/22/2012,14924.6
12/22/2012,15146.43
12/22/2012,16438.2
12/22/2012,17609.84
12/22/2012,17565.54
12/22/2012,17183.42
12/22/2012,16737.64
12/22/2012,16103.02
12/22/2012,15059.04
12/22/2012,13796.31
12/23/2012,12723.75
12/23/2012,12054.6
12/23/2012,11958.34
12/23/2012,12039.4
12/23/2012,12311.38
12/23/2012,12613.47
12/23/2012,12637.86
12/23/2012,13165.28
12/23/2012,14045.96
12/23/2012,14620.49
12/23/2012,14837.38
12/23/2012,14969.93
12/23/2012,15021.19
12/23/2012,14933.13
12/23/2012,14821.95
12/23/2012,14925.54
12/23/2012,16209.58
12/23/2012,17421.11
